"Eðitim durumu ve meslek ana grubuna göre cinsiyete dayalý ücret farký (2010)
Gender pay gap by educational attainment and major occupational group in 2010";;;;;;
;;;;;;
;;;;;;
;;"TOPLAM Yýllýk ortalama brüt ücret
Annual average gross wage
(TL) ";"Erkek
Male";"Kadýn
Female";"Cinsiyete dayalý ücret farký
Gender pay gap (1)
(%)";
Toplam - Total;;17 884;17 837;18 029;-1,1;
Eðitim durumu - Educational attainment;;;;;;
;"
Primary school and below ";12 237;12 597;10 519;16,5;
;"
Primary education and secondary school";12 192;12 571;10 470;16,7;
;"
High school";15 117;15 531;13 969;10,1;
;"
Vocational high school";18 759;19 442;15 647;19,5;
;"
Higher education";31 486;33 574;28 184;16,1;
Meslek ana grubu - Major occupational group;;;;;;
;"
Managers";43 825;43 073;46 201;-7,3;
;"
Professionals";31 520;34 549;27 861;19,4;
;"
Technicians and associate professionals";22 082;22 536;20 865;7,4;
;"
Clerical support workers";18 875;19 383;18 203;6,1;
;"
Service and sales workers";12 922;13 167;12 188;7,4;
;"
Skilled agricultural, forestry and fishery workers";14 091;(*);(0);(*);
;"
Craft and related trades workers";15 278;15 586;13 004;16,6;
;"
Plant and machine operators and assemblers";13 336;13 851;10 518;24,1;
;"
Elementary occupations";12 075;12 449;10 713;13,9;
"(1) 2010 yýlý toplam ücreti esas alýnarak [(erkek ücreti-kadýn ücreti)/erkek ücreti *100] olarak hesaplanmýþtýr.
Calculated based on total wages in 2010, [(male wages-female wages)/male wages*100]";;;;;;
;;;;;;
Kaynak: TÜÝK,  Kazanç Yapýsý Araþtýrmasý;;;;;;
Source:  TURKSTAT,  Structure of Earnings Survey;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
